pmcid,annotations,participants_demographics,scanning_horizon
7375100,523.0,523.0,523.0
5371620,29.0,29.0,17.0
6668217,70.0,,70.0
3061355,32.0,,
5944238,44.0,,
3830782,39.0,,
2736621,24.0,24.0,
7306625,27.0,,
4872123,15.0,15.0,
3744007,10.0,10.0,
6066986,8.0,,8.0
7200443,82.0,,154.0
5557775,17.0,22.0,17.0
3905188,22.0,21.0,
8548369,32.0,32.0,
8764488,20.0,20.0,20.0
3593579,20.0,20.0,
3132672,11.0,,
3467207,12.0,,
6969220,18.0,18.0,
5428836,45.0,45.0,
4864064,17.0,17.0,
4184784,71.0,71.0,
4556987,37.0,,
7518235,72.0,,
5686883,20.0,10.0,
5471583,32.0,,
3258233,12.0,12.0,
6204490,90.0,,63.0
6347794,38.0,38.0,38.0
5598991,232.0,277.0,62.0
6328158,11.0,,
4289457,24.0,24.0,
3407245,10.0,10.0,
8056797,38.0,,19.0
8550949,66.0,66.0,172.0
4319399,284.0,,284.0
6868994,29.0,29.0,
3409150,18.0,,
